author,abstract,doi,publisher,keyword,references,title 
"C.A. Coutant&&Information Systems Laboratory, Hewlett Packard Company, Cupertino, CA, USA|R.E. Griswold&&Department of Computer Science, University of Arizona Tucson, Tucson, AZ, USA|D.R. Hanson&&Department of Computer Science, University of Arizona Tucson, Tucson, AZ, USA|","The importance of the ability to measure the performance of programs written in high-level languages is well known. Performance measurement enables users to locate and correct program inefficiencies where automatic optimizations fail and provides a tool for understanding program behavior. This paper describes performance measurement facilities for the Icon programming language, and shows not only how these facilities provided insight into program behavior, but also how they were used to improve the implementation.",10.1109/TSE.1983.236299,IEEE Transactions on Software Engineering,"High level languages,Computer languages,Programming profession,Measurement,Program processors,Optimizing compilers,Computer science,Instruments,Testing,Performance evaluation","D. F. Brailsford, E. Foxley, K. C. Marder and D. J. Morgan, ""Runtime profiling of Algol 68-R programs using DIDYMUS and SCAMP"", SIGPLAN Notices, vol. 12, pp. 27-33, June 1977.||R. B. K. Dewar and A. P. McCann, ""MACRO SPITBOL–A SNOBOL4 compiler"", Software–Practice and Experience, vol. 7, pp. 95-113, Jan. 1977.||E. Foxley and D. J. Morgan, ""Monitoring the runtime activity of Algol 68-R programs"", Software–Practice and Experience, vol. 8, pp. 29-34, Jan. 1978.||J. F. Gimpel and W. Keister, Minimal meandering strings, July 1970.||R. E. Griswold, D. R. Hanson and J. T. Korb, ""The Icon programming language: An overview"", SIGPLAN Notices, vol. 14, pp. 18-31, Apr. 1979.||R. E. Griswold and D. R. Hanson, ""An alternative to the use of patterns in string processing"", ACM Trans. Programming Languages and Systems, vol. 2, pp. 153-172, Apr. 1980.||R. E. Griswold, D. R. Hanson and J. T. Korb, ""Generators in Icon"", ACM Trans. Programming Languages and Systems, vol. 3, pp. 144-161, Apr. 1981.||D. R. Hanson, ""A portable storage management system for the Icon programming language"", Software–Practice and Experience, vol. 10, pp. 489-500, June 1980.||D. Ingalls, ""The execution time profile as a measurement tool"" in Design and Optimization of Compilers, NJ, Englewood Cliffs:Prentice-Hall, pp. 107-128, 1972.||S. Jaslk, ""Monitoring program execution on the CDC 6000 series machines"" in Design and Optimization of Compilers, NJ, Englewood Cliffs:Prentice-Hall, pp. 129-136, 1972.||B. W. Kernighan and P. L. Plauger, Software Tools, MA, Reading:Addison-Wesley, 1976.||D. E. Knuth, ""An empirical study of Fortran programs"", Software–Practice and Experience, vol. 1, pp. 105-133, Apr. 1971.||B. W. Leverett and P. G. Hibbard, ""An adaptive system for dynamic storage allocation"", Software–Practice and Experience, vol. 12, pp. 543-556, June 1982.||G. Lyon and R. B. Stillman, ""Simple transforms for instrumenting Fortran programs"", Software–Practice and Experience, vol. 5, pp. 347-358, Oct. 1975.||S. Matwin and M. Missala, ""A simple machine independent tool for obtaining rough measures of Pascal programs"", SIGPLAN Notices, vol. 11, pp. 42-45, Aug. 1976.||G. D. Ripley, ""Program perspectives: A relational representation of measurement data"", IEEE Trans. Software Eng., vol. SE-3, pp. 296-300, July 1977.||G. D. Ripley, R. E. Griswold and D. R. Hanson, ""Performance measurement of storage management in an implementation of SNOBOL4"", IEEE Trans. Software Eng., vol. SE-4, pp. 130-137, Mar. 1978.||E. Satterthwaite, ""Debugging tools for high level languages"", Software–Practice and Experience, vol. 2, pp. 197-217, July 1972.||D. Shields, private communication, 1979.||R. L. Sites, ""Programming tools: Statement counts and procedure timings"", SIGPLAN Notices, vol. 13, pp. 98-101, Dec. 1978.||W. M. Waite, ""A sampling monitor for applications programs"", Software–Practice and Experience, vol. 3, pp. 75-79, Jan. 1973.||W. A. Wulf, D. B. Russell and A. N. Habermann, ""BLISS: A language for systems programming"", Comm. ACM, vol. 14, pp. 780-790, Dec. 1971.||",Measuring the Performance and Behavior of Icon Programs
"D. Gries&&Department of Computer Science, Cornell University, Ithaca, NY, USA|","The conventional axiomatic definitions are given for multiple assignment to simple variables and for assignment to a single subscripted variable, along with examples to illustrate their use. The original contributions of this paper are the extension of the definition to include multiple assignment to several subscripted variables, and the development of a nontrivial, practical algorithm in which multiple assignment to several subscripted variables is indeed useful. Arguments are given to support the conjecture that the use of subscripted variables, like the use of pointers, can lead to exponential explosion of the length of a proof (and thus of the time needed to understand a program) unless the programmer is careful.",10.1109/TSE.1978.231479,IEEE Transactions on Software Engineering,"Explosions,Programming profession,Computer science","E. W. Dijkstra, A Discipline of Programming, NJ, Englewood Cliffs:Prentice-Hall, 1976.||D. Gries, Assignment to subscripted variables, Sept. 1976.||C. A. R. Hoare, ""An axiomatic approach to computer programming"", Commun. Ass. Comput. Mach., vol. 12, pp. 576-580, Oct. 1969.||C. A. R. Hoare and N. Wirth, ""An axiomatic defmition of the programming language PASCAL"", Acta Informatica, vol. 2, pp. 335-355, 1973.||D. E. Knuth, The Art of Computer Programming, MA, Reading:Addison-Wesley, vol. 3, 1973.||",The Multiple Assignment Statement
"T.L. Booth&&Department of Electrical Engineering and Computer Science, University of Connecticut, Storrs, CT, USA|C.A. Wiecek&&Department of Electrical Engineering and Computer Science, University of Connecticut, Storrs, USA|","The concept of abstract data types is extended to associate performance information with each abstract data type representation. The resulting performance abstract data type contains a functional part which describes the functional properties of the data type and a performance part which describes the performance characteristics of the data type. The performance part depends upon 1) the algorithms and data representation selected to represent the data type, 2) the particular machine on which the software realization of the data type is realized, and 3) the statistical properties of the actual data represented by the data objects involved in the data type. Methods for determining the necessary information to specify the performance part of the representation are discussed.",10.1109/TSE.1980.230465,IEEE Transactions on Software Engineering,"Software performance,Performance analysis,Software design,Process design,Design engineering,Information analysis,Software algorithms,Large-scale systems,Computer architecture,Job design","T. L. Booth and R. A. Thompson, ""Applying probability measures to abstract languages"", IEEE Trans. Comput., vol. C-22, pp. 442-443, May 1973.||T. L. Booth and C. Whitby-Strevens, ""Performance modelling of distributed systems using probabilistic computation structures"" in Measuring Modelling and Evaluating Computer Systems, The Netherlands, Amsterdam:North-Holland, 1978.||T. L. Booth, ""Performance optimization of software systems processing information sequences modelled by probabilistic languages"", IEEE Trans. Software Eng., vol. SE-5, no. 1, Jan. 1979.||K. S. Fu and T. L. Booth, ""Grammatical inference: Introduction and survey–Part I"", IEEE Trans. Syst. Man Cybern., vol. SMC-5, pp. 95-111, Jan. 1975.||""Grammatical inference: Introduction and survey-Part II"", IEEE Trans. Syst. Man Cybern., vol. SMC-5, pp. 409-423, July 1975.||T. Gilkey, J. R. White and T. L. Booth, ""Performance analysis as a software design tool"", Proc. COMPSAC77.||T. Gilkey, Optimal design of software systems with incomplete performance information, 1980.||J. Guttag, ""Abstract data types and the development of data structures"", Commun. Ass. Comput. Mach., vol. 20, no. 6, June 1977.||E. E. Knuth, The Art of Computer Programming, MA, Reading:Addison-Wesley, vol. 1, 1968.||U. R. Kodres, ""Analysis of real-time systems by data flowgraphs"", IEEE Trans. Software Eng., vol. SE-4, pp. 169-178, May 1978.||U. R. Kodres, ""Discrete systems and flowgraphs"", IEEE Trans. Software Eng., vol. SE-4, pp. 521-525, Nov. 1978.||B. Liskov and S. Zilles, ""An introduction to formal specifications of data abstractions"" in Current Trends in Programming Methodology, NJ, Englewood Cliffs:Prentice‑Hall, vol. 1, 1977.||S. S. Yau, J. S. Collofello and T. MacGregor, ""Ripple effect analysis of software maintenance"", Proc. COMPSAC 78, 1978-Nov.||A. V. Aho, J. E. Hopcroft and J. D. Ullman, The Design and Analysis of Computer Algorithms, MA, Reading:Addison‑Wesley.||L. Kleinrock, Queueing Systems Vol. 1: Theory, New York:Wiley.||H. A. Sholl and T. L. Booth, ""Software performance modelling using computation structures"", IEEE Trans. Software Eng., vol. 1, no. 4, Dec. 1975.||",Performance Abstract Data Types as a Tool in Software Performance Analysis and Design
"S.P. Ghosh&&IBM Research Laboratory, San Jose, CA, USA|",The problem of distributing a data base (with logical associations between segment types) on a computer network such that multiple segment types satisfying a query can be retrieved in paralel from different nodes has been introduced. Properties of such distributions without redundancy and with redundancy have been discussed. Lower bounds on the number of nodes needed for such distributions have been given. Algorithms for constructing such distributions have also been given. Distributions of data bases for queries whose target segments form a combinatorial set have been studied in detail. Closed form expressions for redundancy have been obtained for such query sets.,10.1109/TSE.1976.233537,IEEE Transactions on Software Engineering,"Computer networks,Marketing and sales,Delay,Information retrieval,Computer aided manufacturing,Computer network management,Joining processes,Data communication,Resource management","R. G. Casey, ""Allocation of copies of a file in an information network"", 1972 Spring Joint Comput. Conf. AFIPS Conf. Proc., vol. 40, pp. 617-625, 1972.||P. M. Karp, ""Origin development and current status of the ARPA network"", COMPCON '73 Seventh Annu. IEEE Comput. Soc. Int. Conf., pp. 49-52, 1973-Feb.||P. K. Merrill, Computer netting and distributed data: A tutorial, 1974.||D. H. Lehmer, ""Multisectioned moments of Stirling numbers of the second kind"", J. Combinatorial Theory, vol. 15, no. 2, pp. 210-224, 1971.||J. Riordan, An Introduction to Combinatorial Analysis, New York:Wiley, 1958.||",Distributing a Data Base with Logical Associations on a Computer Network for Parallel Searching
"We-Min Chow&&IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA|W.W. Chiu&&IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA|","An important resource allocation mechanism in virtual storage operating systems is the maintainence of the multiprogramming level in main storage, especially when some form of working-set storage management strategy is employed. Swapping of programs in and out of main memory occurs when sufficient storage becomes available and when total storage demand exceeds capacity. In this paper, we propose a class of swapping algorithms that couples storage management parameters with swapping decisions. An analytic model is developed and numerical results are presented to compare the performance of these algorithms.",10.1109/TSE.1977.229906,IEEE Transactions on Software Engineering,"Operating systems,Resource management,Performance analysis,Algorithm design and analysis,Control systems,Costs,Dispatching,Aggregates,Frequency","P. J. Denning and S. C. Schwartz, ""Properties of the working set model"", Commun. Ass. Comput. Mach., vol. 15, no. 3, pp. 191-198, Mar. 1972.||A. L. Scherr, ""Functional structure of IBM virtual operating systems part II OS/VS2-2 concepts and philosophies"", IBM Syst. J., vol. 12, pp. 382, 1973.||T. A. Ryan and E. G. Coffman, ""A problem in multiprogrammed storage allocation"", IEEE Trans. Comput., vol. C-23, no. 11, 1974.||W. Chow, ""Central server model for multiprogrammed computer systems with different classes of jobs"", IBM J. Res. Develop., vol. 19, no. 3, May 1975.||",An Analysis of Swapping Policies in Virtual Storage Systems
"L. M. Culpepper&&Naval ShIp Research and Development Center, Bethesda, MD, USA|","Much of the software developed to support engineering design calculations is produced by persons whose primary skill is not that of computer scientist. Software validation techniques suitable for use by these engineer-programmers have been under investigation by the Navy as part of a project designed to increase the reliability, usability, and portability of engineering design software. This paper describes the goals and results of the project and describes the software validation process which was developed. A software validation tool which was produced during the project is described and compared with several other tools. Some areas for further work are suggested.",10.1109/TSE.1975.6312837,IEEE Transactions on Software Engineering,"Software,Software reliability,Computers,Programming,Testing,Reliability engineering",,A system for reliable engineering software
"D. Comer&&Department of Computer Science, Purdue University, West Lafayette, IN, USA|M.H. Halstead&&Department of Computer Science, Purdue University, West Lafayette, IN, USA|",In this paper we: 1) discuss the need for quantitatively reproducible experiments in the study of top-down design; 2) propose the design and writing of tutorial papers as a suitably general and inexpensive vehicle; 3) suggest the software science parameters as appropriate metrics; 4) report two experiments validating the use of these metrics on outlines and prose; and 5) demonstrate that the experiments tended toward the same optimal modularity.,10.1109/TSE.1979.234166,IEEE Transactions on Software Engineering,"Process design,Design methodology,Software measurement,Writing,Vehicles,Computer science,Humans,Guidelines,Documentation,Error correction","D. Comer, ""MAP: A Pascal preprocessor for large program development"", Software-Practice and Experience.||D. Comer and M. H. Halstead, A simple experiment in top-down design, Nov. 1978.||O. J. Dahl, E. Dijkstra and C. A. R. Hoare, Structured Programming, New York:Academic, 1972.||M. H. Halstead, Elements of Software Science, New York:Elsevier North-Holland, 1977.||M. H. Halstead, ""Potential impacts of software science on life cycle management"" in Software Phenomenology, U.S. Army Inst. for Res. in Management Inform. and Comput. Sci., pp. 385-400, Aug. 1977.||M. H. Halstead, A software science analysis of the writing of a technical paper, Aug. 1977.||C. McGowan and J. Kelly, Top-Down Structured Programming Techniques, Petrocelli:Charter, 1975.||G. Miler, E. Newman and E. Friedman, ""Length frequency statistics of written English"", Inform. Contr., vol. 1, pp. 370-389, 1958.||R. Tausworthe, Standardized Development of Computer Software, NJ, Englewood Cliffs:Prentice-Hall, 1977.||N. Wirth, ""Program development by stepwise refinement"", Commun. Ass. Comput. Mach., vol. 14, pp. 221-227, Apr. 1971.||Current Trends in Programming Methodologies, NJ, Englewood Cliffs:Prentice-Hall, 1977.||",A Simple Experiment in Top-Down Design
"R.R. Oldehoeft&&Department of Computer Science, Colorado State University, Fort Collins, CO, USA|","This paper describes a technique for predicting the execution behavior of a source program or a software design specification. As a by-product of syntactic analysis, a program graph is constructed which can subsequently be treated as the graph of a finite automaton. The expression for execution behavior is the regular expression of the graph. Several simplification techniques for these expressions are discussed and exemplified. In particular, the substitution of known values for program segments followed by constant folding cannot be done indiscriminately; the allowable situations are characterized. Applications include the prediction of execution time for a program or a software design, other forms of language analysis, and program restructuring.",10.1109/TSE.1983.236300,IEEE Transactions on Software Engineering,"Costs,Software design,Automata,Application software,Performance analysis,Flow graphs,Data analysis,Computer science,Equations,Labeling","A. V. Aho and J. D. Ullman, ""2"" in The Theory of Parsing Translation and Compiling, NJ, Englewood Cliffs:Prentice-Hall, vol. 1, pp. 103-121, 1972.||T. L. Booth, ""Use of computation structure models to measure computation performance"", Proc. Conf. Simulation Measurement and Modeling of Comput. Syst., pp. 183-188, 1979.||R. R. Oldehoeft and L. J. Bass, ""Dynamic software science with applications"", IEEE Trans. Software Eng., vol. SE-5, pp. 497-504, Sept. 1979.||C. Smith and J. C. Browne, ""Performance specifications and analysis of software designs"", Proc. Conf. Simulation Measurement and Modeling of Comput. Syst., pp. 173-182, 1979.||",Program Graphs and Execution Behavior
"R. Balzer&&Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA|N. Goldman&&Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA|D. Wile&&Information Sciences Institute, University of Southern California, Marina del Rey, CA, USA|","This paper is concerned with the need for computer-based tools which help human designers formulate formal process-oriented specifications. It first determines some attributes of a suitable process-oriented specification language, then examines the reasons why specifications would still be difficult to write in such a language in the absence of formulation tools. The key to overcoming these difficulties seems to be the careful introduction of informality based on partial, rather than complete, descriptions and the use of a computer-based tool that uses context extensively to complete these descnrptions during the process of constructing a well-formed specification. Some results obtained by a running prototype of such a computer-based tool on a few informal example specifications are presented and, finaliy, some of the techniques used by this prototype system are discussed.",10.1109/TSE.1978.231480,IEEE Transactions on Software Engineering,"Specification languages,Prototypes,Humans,Process design,Software prototyping,Computer languages,Software systems,Programming,Testing,Artificial intelligence","R. Balzer, N. Goldman and D. Wile, ""On the transformational implementation approach to programming"", 2nd Int. Conf. Software Eng., pp. 337, 1976-Oct.||T. E. Bell and D. Bixler, ""An extendable approach to computer‑aided software requirements engineering"", 2nd Int. Conf. Software Eng., pp. 70, 1976-Oct.||D. Teichroew and E. A. Hershey, ""PSL/PSA a computer‑aided technique for structured documentation and analysis of information processing systems"", 2nd Int. Conf. Software Eng., pp. 2, 1976-Oct.||B. Liskov, A. Snyder, R. Atkinson and C. Schoffert, ""Abstraction mechanisms in CLU"", Commun. Ass. Comput. Mach., vol. 20, pp. 564-577, Aug. 1977.||W. A. Wulf and M. Shaw, ""An introduction to the construction and verification of alphard programs"", 2nd Int. Conf. Software Eng., pp. 390, 1976-Oct.||B. W. Lampson, J. J. Horning, R. L. London, J. G. Mitchell and G. J. Popek, Report on the programming language Euclid, CA, Palo Alto:Xerox Res. Center, Aug. 1976.||R. A. Snowdon, PEARL: An interactive system for the preparation and validation of structured programs, Nov. 1971.||J. T. Schwartz, On programming an interim report on the SETL project, 1973.||J. V. Guttag, E. Horowitz and D. R. Musser, ""The design of data type specifications"", 2nd Int. Conf. Software Eng., pp. 414, 1976-Oct.||E. F. Codd, ""A relational model of data for large shared data bases"", Commun. Ass. Comput. Mach., vol. 13, no. 6, June 1970.||D. D. Chamberlin, ""Relational data base management systems"", ACM Comput. Surveys, vol. 8, no. 1, Mar. 1976.||Data Base Task Group, Apr. 1971.||||S. L. Gerhart and L. Yelowitz, ""Control structure abstractions of the backtracking programming technique"", 2nd Int. Conf. Software Eng., pp. 391, 1976-Oct.||",Informality in Program Specifications
"L.L. Beck&&Department of Computer Science and Engineering, Southern Methodist University, Dallas, TX, USA|","A set of primitive operations on tuples is derived; it is shown that these operations are necessary and sufficient for the implementation tion of any language equivalent in power to the relational algebra. The translation of queries from a variety of relational languages into these tuple operations is discussed and illustrated with several examples. A method is given for the conversion of such a translated query into a network of processes and files. An optimization algorithm which operates on this network is described and demonstrated. Using this method, many different relational languages can be implemented using the same data management software; furthermore, the underlying software can be changed without requiring any changes at the user interface. This approach should yield great benefits in reduced cost and increased flexibility of implementation.",10.1109/TSE.1980.230466,IEEE Transactions on Software Engineering,"Algebra,Query processing,Relational databases,Calculus,Switches,User interfaces,Data models,Prototypes,Authorization,Computer science","A. V. Aho, J. E. Hopcroft and J. D. Ullman, The Design and Analysis of Computer Algorithms, MA, Reading:Addison‑Wesley, 1974.||M. M. Astrahan, ""System R: Relational approach to database management"", ACM Trans. Database Syst., vol. 1, pp. 97-137, June 1976.||L. L. Beck, ""An approach to the creation of structured data processing systems"", Proc. 1976 ACM-SIGMOD Int. Conf. Manag. Data, pp. 179-188, 1976.||L. L. Beck, Automatic design of structured data processing systems, Nov. 1975.||L. L. Beck, On minimal sets of operations for relational data sublanguages, Feb. 1978.||L. L. Beck, ""A relational problem definition language for structured data processing"", Proc. 1978 ACM Annu. Conf., pp. 375-384, 1978.||R. F. Boyce, D. D. Chamberlin, W. F. King and M. M. Hammer, ""Specifying queries as relational expressions: The SQUARE data sublanguage"", Commun. Assoc. Comput. Mach., vol. 18, pp. 621-628, Nov. 1975.||D. D. Chamberlin and R. F. Boyce, ""SEQUEL: A structured English query language"", 1974 Proc. ACM-SIGMOD Workshop on Data Description Access and Control, pp. 249-264, 1974.||E. F. Codd, ""A relational model of data for large shared data banks"", Commun. Assoc. Comput. Mach., vol. 13, pp. 377-397, June 1970.||E. F. Codd, ""Relational completeness of data base sublanguages"" in Courant Computer Science Symposia Vol. 6: Data Base Systems, NJ, Englewood Cliffs:Prentice-Hall, pp. 65-99, 1971.||D. D. Chamberlin, ""Relational data-base management systems"", ACM Comput. Surv., vol. 8, pp. 43-66, Mar. 1976.||C. J. Date, An Introduction to Database Systems, MA, Reading:Addison-Wesley, 1977.||G. D. Held, M. R. Stonebraker and E. Wong, ""INGRES: A relational data base system"", 1975 Proc. AFIPS Nat. Comput. Conf., pp. 409-416, 1975-May.||A. S. Michaels, B. Mittman and C. R. Carlson, ""A comparison of relational and CODASYL approaches to data-base management"", ACM Comput. Surv., vol. 8, pp. 125-152, Mar. 1976.||M. M. Zloof, Query by example, July 1974.||M. M. Zloof, ""Query by example"", Proc. AFIPS Nat. Comput. Conf., pp. 431-438, 1975-May.||",A Generalized Implementation Method for Relational Data Sublanguages
"J.L. Elshoff&&Computer Science Department, General Motors Research and Development Laboratories, Warren, WI, USA|",The source code for 120 production PL/I programs from several General Motors' commercial computing installations has been collected. The programs have been scanned both manually and automatically. Some data from the scanning process are presented and interpreted.,10.1109/TSE.1976.233538,IEEE Transactions on Software Engineering,"Production,Programming profession,Computer languages,Guidelines,Personnel,Information analysis,History,Terrorism,Computer science,Computer industry","O. J. Dahl, E. W. Dijkstra and C. A. R. Hoare, Structured Programming, New York:Academic, 1972.||F. T. Baker, ""Structured programming in a production programming environment"", Proc. Int. Conf. Reliable Software, pp. 172-185, 1975-Apr.||F. T. Baker, Datamation (Special Issue on Structured Programming), vol. 19, no. 6, Dec. 1973.||F. T. Baker, Comput. Surveys (Special Issue on Programming), vol. 6, no. 4, Dec. 1974.||OS PL/I Checkout and Optimizing Compilers: Language Reference Manual, July 1974.||F. T. Baker, A Guide to PL/I for Commercial Programmers, NY, White Plains:IBM Corp.||D. D. McGracken and G. M. Weinberg, ""How to write a readable FORTRAN program"", Datamation, vol. 18, pp. 73-77, Oct. 1972.||B. W. Kernighan and P. J. Plauger, The Elements ofProgramming Style, New York:McGraw-Hill, 1974.||K. V. Roberts, ""The readability of computer programs"", Comput. Bull., vol. 10, pp. 17-24, Mar. 1967.||H. Mills, ""Top down programming in large systems"" in Debugging Techniques in Large Systems, NJ, Englewood Cliffs:Prentice-Hall, pp. 41-55, 1971.||N. Wirth, ""Program development by stepwise refinement"", Commun. Ass. Comput. Mach., vol. 14, pp. 221-227, Apr. 1971.||J. L. Elshoff, ""A numerical profile of commercial PL/I programs"", Software–Practice and Experience.||D. E. Knuth, ""An empirical study of FORTRAN programs"", Software–Practice and Experience, vol. 1, pp. 105-133, Apr.-June 1971.||A. Salvadori, J. Gordon and C. Capstick, ""Static profile of COBOL programs"", SIGPLAN Notices, vol. 10, pp. 20-33, Aug. 1975.||R. Conway and D. Gries, An Introduction to Programming, MA, Cambridge:Winthrop, 1973.||R. C. Holt and D. B. Wortman, Structured subsets of the PL/I language, pp. 25, Oct. 1973.||B. W. Boehm, ""Software and its impact: A quantitative assessment"", Datamation, vol. 19, pp. 48-59, May 1973.||",An Analysis of Some Commercial PL/I Programs
"P.B. Hansen&&Department of Computer Science, University of Southern California, Los Angeles, CA, USA|","This paper summarizes the initial experience with the programming language Concurrent Pascal in the design of three model operating systems. A Concurrent Pascal program consists of modules called processes, monitors, and classes. The compiler checks that the data structures of each module are accessed only by the operations defined in the module. The author emphasizes that the creative aspect of program construction is the initial selection of modules and the connection of them into hierarchical structures. By comparison the detailed implementation of each module is straightforward. The most important result is that it is possible to build a concurrent program of one thousand lines out of one-page modules that can be comprehended at a glance.",10.1109/TSE.1977.229907,IEEE Transactions on Software Engineering,"Data structures,Operating systems,Computer languages,Computer displays,System testing,Modular construction,Computer science,Program processors,Microcomputers,Concurrent computing","P. Brinch Hansen, ""The programming language Concurrent Pascal"", IEEE Trans. Software Eng., vol. SE-1, pp. 199-207, June 1975.||P. Brinch Hansen, ""The Solo operating system"", Software–Practice and Experience, vol. 6, pp. 141-205, Apr.-June 1976.||C. A. R. Hoare, ""Towards a theory of parallel programming"" in Operating Systems Techniques, New York:Academic, 1972.||P. Brinch Hansen, ""Structured multiprogramming"", Commun. Ass. Comput. Mach., vol. 7, pp. 574-578, July 1972.||P. Brinch Hansen, Operating System Principles, NJ, Englewood Cliffs:Prentice-Hall, July 1973.||C. A. R. Hoare, ""Monitors: An operating system structuring concept"", Commun. Ass. Comput. Mach., vol. 17, pp. 549-557, Oct. 1974.||O.-J. Dahl, E. W. Dijkstra and C. A. R. Hoare, Structured Programming, New York:Academic, 1972.||C. A. R. Hoare, ""Proof of correctness of data representations"", Acta Informatica, vol. 1, pp. 271-281, 1972.||E. W. Dijkstra, ""Hierarchical ordering of sequential processes"", Acta Informatica, vol. l, pp. 115-138, 1971.||P. Brinch Hansen, Concurrent Pascal report, CA, Pasadena:Dept. Information Sci., California Institute of Technology, June 1975.||N. Wirth, ""The programming language Pascal"", Acta Informatica, vol. 1, pp. 35-63, 1971.||A. C. Hartmann, A Concurrent Pascal compiler for minicomputers, CA, Pasadena:Dept. Information Sci., California Institute of Technology, Sept. 1975.||P. Brinch Hansen, The job stream system, CA, Pasadena:Dept. Information Sci., California Institute of Technology, Jan. 1976.||P. Brinch Hansen, A real-time scheduler, CA, Pasadena:Dept. Information Sci., California Institute of Technology, Nov. 1975.||P. Brinch Hansen, ""The RC 4000 real-time control system at Pulaway"", BIT, vol. 7, pp. 279-288, 1967.||P. Brinch Hansen, Concurrent Pascal machine, CA, Pasadena:Dept. Information Sci., California Institute of Technology, Oct. 1975.||J. H. Howard, ""Proving monitors"", Commun. Ass. Comput. Mach., vol. 19, pp. 273-279, May 1976.||S. Owicki and D. Gries, ""Verifying properties of parallel programs: An axiomatic approach"", Commun. Ass. Comput. Mach., vol. 19, pp. 279-285, May 1976.||",Experience with Modular Concurrent Programming
"Niklaus Wirth&&Federal Institute of Technology Lausanne, ZUrich, ONT, Switzerland|","The programming language Pascal is assessed in the light of `reliable programming' and with the background of five years of experience with the language. Some features are selected to point out remaining problems, either inherent or specific, from which some guidelines for the design of choice of languages for reliable programming are derived. Among the discussed features are the concept of data type, the sequential file structure and the type union.",10.1109/TSE.1975.6312839,IEEE Transactions on Software Engineering,"Software reliability,Arrays,Software,Integrated circuit reliability,Programming,Indexes",,An assessment of the programming language pascal
"A.L. Baker&&Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA|S.H. Zweben&&Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA|","An investigation is made into the extent to which relationships from software science are useful in analyzing programming methodology principles that are concerned with modularity. Using previously published data from over 500 programs, it is shown that the software science effort measure provides quantitative answers to questions concerning the conditions under which modularization is beneficial. Among the issues discussed are the reduction of similar code sequences by temporary variable and subprogram defmition, and the use of global variables. Using data flow analysis, environmental considerations which affect the applicability of alternative modularity techniques are also discussed.",10.1109/TSE.1979.234167,IEEE Transactions on Software Engineering,"Software measurement,Data analysis,Area measurement,Software tools,Problem-solving,Chemicals,Computer interfaces,Information science,Programming environments,Particle measurements","N. Bulut, Invariant properties of algorithms, Aug. 1973.||N. Bulut, M. H. Halstead and R. Bayer, ""Experimental validation of a structural property of FORTRAN algorithms"", Proc. Assoc. Comput. Mach. Annu. Conf., pp. 207-211, 1974-Nov.||J. L. Elshoff, ""Measuring commercial PL/I programs using Halstead's criteria"", Assoc. Comput. Mach. SIGPLAN Notices, vol. 11, pp. 38-46, May 1976.||J. L. Elshoff, ""An investigation into the effects of the counting used on software science measurements"", Assoc. Comput. Mach. SIGPLAN Notices, vol. 13, pp. 30-45, Feb. 1978.||L. D. Fosdick and L. J. Osterweil, ""Data flow analysis in software reliability"", Assoc. Comput. Mach. Comput. Surv., vol. 8, pp. 305-330, Sept. 1976.||R. D. Gordon and M. H. Halstead, ""An experiment comparing programming times and the software physics hypothesis"", 1976 AFIPS Conf. Proc. Nat. Comput. Conf., vol. 45, pp. 935-937.||R. D. Gordon, A measure of mental effort related to program clarity, Aug. 1977.||M. H. Halstead, A theoretical relationship between mental work and machine language programming, May 1972.||M. H. Halstead, ""An experimental determination of the purity of a trivial algorithm"", Assoc. Comput. Mach. SIGME Performance Evaluation Rev., vol. 2, pp. 10-15, Mar. 1973.||M. H. Halstead, ""Toward a theoretical basis for estimating programming effort"", Proc. Assoc. Comput. Mach. Annu. Conf., pp. 222-224, 1975-Oct.||M. H. Halstead, Elements of Software Science, New York:Elsevier North‑Holland, 1977.||B. W. Kemighan and P. J. Plauger, Elements of Programming Style, New York:McGraw-Hill, 1974.||P. M. Zislis, An experiment in algorithm implementation, June 1973.||",The Use of Software Science in Evaluating Modularity Concepts
"R.A. Marie&&IRISA/INRIA, Rennes, France|J.M. Pellaumail&&IRISA/INRIA, Rennes, France|","We consider a queueing system with a general service distribution having a possibility of feedback. The customers belong to the same class, and the queueing discipline is first-in, first-out. There is only one server in the station. The facility is rendered Markovian by means of fictitious stages. The input flow depends on the state of the station. It is shown that the equilibrium probabilities can be simply expressed by means of a matrix product. Two particular cases are studied.",10.1109/TSE.1983.236301,IEEE Transactions on Software Engineering,"Steady-state,State feedback,Network servers,Computer science,Tin","D. R. Cox, ""A use of complex probabilities in the theory of stochastic process"", Proc. Cambridge Phil Soc., vol. 51, pp. 313-319, 1955.||R. A. Marie, Algorithmes de calcul des probabilités asymptotiques pour des files d'attente λ(n)/Ck/1/N avec rebouclage et cas particuliers, Dec. 1979.||R. A. Marie, Modelisation par reseaux de files d'attente, Nov. 1978.||",Steady-State Probabilities for a Queue with a General Service Distribution and State-Dependent Arrivals
